"","player","role","mode","series_played","win_rate","kd"
"210","Braaain","AR","Capture The Flag",7,42.9,0.877049180327869
"211","GodRx","SMG","Capture The Flag",24,42.9,0.959923664122137
"212","Nevo","AR","Capture The Flag",7,42.9,0.84
"213","Pandur","SMG","Capture The Flag",24,42.9,1.02268041237113
"214","Peatie","SMG","Capture The Flag",13,42.9,0.89568345323741
"215","General","AR","Hardpoint",31,42.6,1.01456310679612
"216","Tommey","SMG","Search & Destroy",49,42.5,1.00622406639004
"217","Ricky","AR","Capture The Flag",55,42.2,0.964594127806563
"218","Censor","SMG","Search & Destroy",41,41.8,0.77521613832853
"219","QwiKeR","SMG","Capture The Flag",12,41.7,0.90625
"220","Fero","SMG","Capture The Flag",69,41.6,1.00773558368495
"221","Blazt","SMG","Capture The Flag",43,41.5,0.964077669902913
"222","Censor","SMG","Hardpoint",41,41.3,0.844149459193707
"223","SpaceLy","SMG","Search & Destroy",14,41.2,0.909836065573771
"224","Study","SMG","Search & Destroy",13,41.2,0.821428571428571
"225","Buzzo","AR","Capture The Flag",57,40.9,0.985143918291551
"226","Denz","SMG","Capture The Flag",57,40.9,1.1738730450782
"227","Fighta","SMG","Capture The Flag",57,40.9,0.864460204885737
"228","Shockz","SMG","Capture The Flag",57,40.9,1.09375
"229","Riskin","SMG","Search & Destroy",26,40.5,0.872413793103448
"230","Seany","SMG","Capture The Flag",63,40.3,0.802543507362784
"231","Wuskin","AR","Capture The Flag",63,40.3,1.11993243243243
"232","Skrapz","SMG","Capture The Flag",69,40.3,1.04175084175084
"233","Bevils","SMG","Capture The Flag",25,40,1.00453514739229
"234","Proto","SMG","Hardpoint",21,40,0.87875
"235","Faccento","SMG","Hardpoint",61,39.7,0.912048969072165
"236","Aqua","AR","Hardpoint",60,39.6,1.02934860415175
"237","GodRx","SMG","Hardpoint",24,39.5,1.05410122164049
"238","Pandur","SMG","Hardpoint",24,39.5,0.959074733096085
"239","Dashy","AR","Hardpoint",42,39.2,1.17753047164812
"240","Saints","SMG","Hardpoint",59,38.7,0.99836387434555
"241","Bance","SMG","Search & Destroy",65,38.5,0.913875598086124
"242","MadCat","AR","Search & Destroy",65,38.5,0.873070325900515
"243","Bevils","SMG","Hardpoint",25,38.5,0.861138861138861
"244","Study","SMG","Capture The Flag",13,38.5,0.838461538461538
"245","Damage","AR","Search & Destroy",34,37.8,0.986577181208054
"246","Jurd","SMG","Search & Destroy",61,37.8,0.943060498220641
"247","Nimble","SMG","Search & Destroy",34,37.8,0.935275080906149
"248","Swiftazor","AR","Search & Destroy",34,37.8,0.807073954983923
"249","Swifty","SMG","Search & Destroy",34,37.8,0.923344947735192
"250","Zayrox","SMG","Search & Destroy",29,37.8,0.928813559322034
"251","GRVTY","SMG","Capture The Flag",8,37.5,0.873417721518987
"252","Lacefield","SMG","Capture The Flag",28,37.5,0.964726631393298
"253","Malls","SMG","Search & Destroy",32,37.5,0.918831168831169
"254","Nagafen","SMG","Hardpoint",19,37.5,0.848748639825898
"255","Nagafen","SMG","Search & Destroy",19,37.5,0.867469879518072
"256","Tisch","SMG","Capture The Flag",8,37.5,0.906666666666667
"257","Wailers","AR","Search & Destroy",32,37.5,1.03395061728395
"258","Buzzo","AR","Hardpoint",57,36.8,0.95873968492123
"259","Denz","SMG","Hardpoint",57,36.8,1.08092286501377
"260","Fighta","SMG","Hardpoint",57,36.8,0.880391557051086
"261","Shockz","SMG","Hardpoint",57,36.8,1.07354972375691
"262","General","AR","Capture The Flag",31,36.4,0.807339449541284
"263","Believe","SMG","Search & Destroy",20,36,0.830188679245283
"264","Maux","AR","Hardpoint",20,35.7,1.09720176730486
"265","Lacefield","SMG","Hardpoint",28,35.4,0.977161500815661
"266","Nathan","AR","Capture The Flag",13,35.3,0.972222222222222
"267","JurNii","SMG","Hardpoint",11,34.8,0.99836867862969
"268","Lucky","SMG","Hardpoint",11,34.8,0.960720130932897
"269","Mayhem","SMG","Capture The Flag",23,34.8,0.933660933660934
"270","MethodZsick","SMG","Hardpoint",11,34.8,1.00975609756098
"271","Nova","AR","Capture The Flag",23,34.8,0.966265060240964
"272","Reedy","SMG","Search & Destroy",37,34.8,0.894039735099338
"273","Spoof","SMG","Capture The Flag",23,34.8,0.914346895074946
"274","Sukry","AR","Hardpoint",11,34.8,1.01573426573427
"275","Damage","AR","Capture The Flag",34,34.3,1.02040816326531
"276","Nimble","SMG","Capture The Flag",34,34.3,0.810730253353204
"277","Swiftazor","AR","Capture The Flag",34,34.3,0.855051244509517
"278","Swifty","SMG","Capture The Flag",34,34.3,0.806938159879336
"279","Blfire","AR","Hardpoint",7,33.3,1.06070287539936
"280","Denza","SMG","Search & Destroy",8,33.3,1.23636363636364
"281","JurNii","SMG","Capture The Flag",11,33.3,0.940140845070423
"282","Lucky","SMG","Capture The Flag",11,33.3,1.25
"283","MethodZsick","SMG","Capture The Flag",11,33.3,0.821561338289963
"284","Nevo","AR","Hardpoint",7,33.3,0.763265306122449
"285","Phantomz","AR","Search & Destroy",8,33.3,0.945454545454545
"286","Sukry","AR","Capture The Flag",11,33.3,0.985074626865672
"287","Dqvee","SMG","Search & Destroy",45,32.8,0.911483253588517
"288","Hawqeh","SMG","Search & Destroy",45,32.8,0.798561151079137
"289","Vortex","SMG","Search & Destroy",45,32.8,0.800947867298578
"290","Moose","SMG","Capture The Flag",37,32.6,0.861715749039693
"291","Dqvee","SMG","Capture The Flag",45,32.1,1.04305283757339
"292","Hawqeh","SMG","Capture The Flag",45,32.1,0.990262901655307
"293","Mayhem","SMG","Search & Destroy",23,32.1,0.887096774193548
"294","Nova","AR","Search & Destroy",23,32.1,0.902702702702703
"295","Spoof","SMG","Search & Destroy",23,32.1,0.994736842105263
"296","Vortex","SMG","Capture The Flag",45,32.1,0.777983348751156
"297","JurNii","SMG","Search & Destroy",11,31.6,0.887096774193548
"298","Lucky","SMG","Search & Destroy",11,31.6,0.983471074380165
"299","MethodZsick","SMG","Search & Destroy",11,31.6,0.934306569343066
"300","Sukry","AR","Search & Destroy",11,31.6,0.809160305343511
"301","Evas1on","SMG","Hardpoint",7,30.8,0.899686520376176
"302","Naux","SMG","Hardpoint",7,30.8,0.848837209302326
"303","Reedy","SMG","Capture The Flag",37,30.8,0.918918918918919
"304","Believe","SMG","Capture The Flag",20,30,0.939828080229226
"305","Maux","AR","Capture The Flag",20,30,1.07479224376731
"306","SpaceLy","SMG","Capture The Flag",14,29.4,0.810495626822157
"307","Bidz","SMG","Capture The Flag",7,28.6,1.008
"308","Blfire","AR","Capture The Flag",7,28.6,0.63265306122449
"309","Cammy","SMG","Capture The Flag",7,28.6,0.927007299270073
"310","Chain","SMG","Search & Destroy",6,28.6,0.75
"311","Enduraaa","AR","Capture The Flag",7,28.6,0.8515625
"312","Maple","AR","Search & Destroy",6,28.6,0.909090909090909
"313","Believe","SMG","Hardpoint",20,28.1,1.01721854304636
"314","Nathan","AR","Search & Destroy",13,27.8,0.788135593220339
"315","Parzelion","AR","Hardpoint",11,26.7,0.96969696969697
"316","Abezy","SMG","Capture The Flag",19,26.3,0.95360824742268
"317","Damage","AR","Hardpoint",34,26.3,1.07864238410596
"318","Diabolic","SMG","Capture The Flag",19,26.3,0.809895833333333
"319","Nimble","SMG","Hardpoint",34,26.3,0.848979591836735
"320","Sender","AR","Capture The Flag",19,26.3,0.751898734177215
"321","Swiftazor","AR","Hardpoint",34,26.3,0.900976290097629
"322","Swifty","SMG","Hardpoint",34,26.3,0.93588850174216
"323","Blfire","AR","Search & Destroy",7,25,0.777777777777778
"324","MarkyB","SMG","Hardpoint",7,25,1.04240282685512
"325","Mayhem","SMG","Hardpoint",23,24.3,0.866167023554604
"326","Nova","AR","Hardpoint",23,24.3,0.923982869379015
"327","Spoof","SMG","Hardpoint",23,24.3,0.978170478170478
"328","Reedy","SMG","Hardpoint",37,23.8,0.872034956304619
"329","LlamaGod","SMG","Hardpoint",11,23.5,0.910313901345291
"330","LlamaGod","SMG","Search & Destroy",11,23.1,0.914893617021277
"331","Dqvee","SMG","Hardpoint",45,23,0.933133304757823
"332","Hawqeh","SMG","Hardpoint",45,23,0.953499079189687
"333","Vortex","SMG","Hardpoint",45,23,0.811205846528624
"334","Nevo","AR","Search & Destroy",7,22.2,0.967213114754098
"335","Malls","SMG","Hardpoint",32,22,0.817711700064641
"336","Wailers","AR","Hardpoint",32,22,1.03377386196769
"337","Zayrox","SMG","Hardpoint",29,21.8,0.949246629659001
"338","SpaceLy","SMG","Hardpoint",14,21.7,0.914241960183767
"339","Riskin","SMG","Hardpoint",26,21.6,0.855355746677091
"340","Nathan","AR","Hardpoint",13,20.8,0.962264150943396
